Video_Id,Title,Published_date,Views,Likes,Favorite,Comments
b0J7Eh8pD4Q,Cuti ibu bapa ditambah… apa yang harus anda tahu?,2024-09-06,32,0,0,0
p-HI07DG9E4,Ambil dadah sejak usia muda,2024-09-05,311,9,0,1
gK-qVTubFBg,Laporan Khas BH: Kunafa sampai begitu sekali?,2024-09-02,100,2,0,0
8iAbw9xqspk,Saya tak simpan makanan untuk diri sendiri!,2024-08-30,114,9,0,1
2ENMamfnYuU,Puas makan durian sambil belayar naik 'cruise',2024-08-30,126,0,0,0
K7ZezGkQKGg,Laporan Khas BH: Hanya $50 untuk tempah baju kurung di Vietnam?,2024-08-26,148,1,0,0
gMbQKyL3fL4,Kuda kepang - seni atau songsang? #sgnews #beritasingapura #kudakepang #kudalumping,2024-08-21,396,6,0,0
4_46FADQiFs,9 tahun sudah berlalu tapi tragedi gempa bumi di Sabah pada 2015 terus dikenang mangsa. #sgnews,2024-08-21,431,8,0,0
2DVgTtCcnR4,Sekilas ucapan bahasa Melayu Encik Lawrence Wong di #NDR sulungnya sebagai PM. #sgnews,2024-08-21,531,7,0,0
n1FJWmxtFao,Laporan Khas Berita Harian Singapura: 'Kayak Fishing',2024-08-18,132,3,0,1
nlY00Tm03lQ,Barang asas untuk pergi 'kayak fishing',2024-08-18,18,1,0,0
WFOI269E0dY,Sambung lagu NDP…mampu tak mampu?,2024-08-13,120,2,0,0
rj3o09wJqjk,Laporan Khas Berita Harian Singapura: Bina asas masa depan,2024-08-11,157,3,0,1
9UIszk9xGS0,Menetapkan Laluan Bagi Era Baru Aktivisme dan Kesukarelawanan.,2024-08-08,43,1,0,0
nznYWPNiEV8,Dialog Masyarakat BH #2: Belia & Kesedaran Sivik,2024-08-07,46,0,0,0
7-yuhy8edh0,Dialog Masyarakat BH #2: Belia & Aktivisme,2024-08-07,24,0,0,0
_k0kUs8S614,Gempa bumi Sabah 2015: Masjid Ba'alwie urus jenazah dua mangsa korban,2024-08-04,75,0,0,0
SLXU71lpVIA,Gempa bumi Sabah 2015: 9 tahun kemudian...,2024-08-04,557,6,0,0
fjjvIGqGXYw,Laporan Khas Berita Harian Singapura: Akan kukembali ke Kinabalu...,2024-08-03,389,10,0,0
pzJRR3e-WvM,Boleh ke kenal tanda penyalahgunaan dadah?,2024-08-02,217,8,0,0
gGrPfU7ynNs,"Hasil ulang-alik Koswe 14 tahun, warga M’sia kini miliki 3 hartanah",2024-07-28,447,6,0,1
9QOX5L27mBg,Laporan Khas Berita Harian Singapura: Mengejar durian runtuh di Singapura,2024-07-27,53642,162,0,33
EecxTQXa1Es,Jumlah warga Malaysia cari kerja di Singapura naik 60%,2024-07-27,514,7,0,0
_cT7zogysS0,Tahun meraikan Sukarelawan!,2024-07-26,177,3,0,0
