Video_Id,Title,Published_date,Views,Likes,Favorite,Comments
3yFcwNmF7aU,Asian markets tumble as US jobs data stoke recession fears,2024-09-09,45,3.0,0,0
KaI3mVf-7M0,"Bicycle sales in Singapore plunged by 30 to 70%, what's next?",2024-09-09,30,0.0,0,0
ZmEkJjdp0rc,"Lens on Daily: Monday, September 9, 2024 (Ep 105)",2024-09-09,31,1.0,0,0
tlVXEZC-ppg,S1E183: Was the Asian stock sell-off a one-off? BT Money Hacks (Ep 183),2024-09-08,101,0.0,0,18
fdf6rS74HTM,Why have bicycle sales in Singapore plunged by 30% to 70%?,2024-09-07,34446,184.0,0,90
o90KQdq9SJA,Xi Jinping's new US$30 billion commitment to Africa,2024-09-06,368,6.0,0,0
Jo-c-ZPN4yY,China's US$50 billion commitment to Africa,2024-09-06,4317,63.0,0,23
hkDO8dZred0,China creates 1.6 trillion yuan brokerage giant to take on Wall Street,2024-09-06,98,3.0,0,0
rQMtRUf24Ig,Grindr shareholder enters Forbes’ 50 richest list in Singapore #shorts,2024-09-06,83,1.0,0,0
kjxMWQiFTMQ,"Lens on Daily: Friday, September 6, 2024 (Ep 104)",2024-09-06,29,0.0,0,0
5s9LtRN3sx0,SG Tax revenue up 17% to S$80b in FY2324 #shorts,2024-09-05,43,1.0,0,0
nYYysSjf0k8,"Market Focus Daily: Thursday, September 5, 2024 (Ep 138)",2024-09-05,48,0.0,0,0
FuyUSks_Wqg,"Lens on Daily: Thursday, September 5, 2024 (Ep 103)",2024-09-05,27,0.0,0,0
Tl6NyqzUrk0,Nvidia's US$279 billion stock plunge: What happened?,2024-09-04,214,1.0,0,0
KSP3RRv1AB8,US$279b wiped out as Nvidia stocks plunged 9.5%,2024-09-04,900,7.0,0,1
rAhkzrIHeAs,"Market Focus Daily: Wednesday, September 4, 2024 (Ep 137)",2024-09-04,31,0.0,0,0
ooCSKEqbHC8,"Lens on Daily; Wednesday, September 4, 2024 (Ep 102)",2024-09-04,15,1.0,0,1
-__3db9Ivio,CapitaLand Integrated Commercial Trust plans to acquire a 50% stake in Ion Orchard for S$1.1B,2024-09-03,56,0.0,0,0
lxRwRVQhJFU,"Market Focus Daily: Tuesday, September 3, 2024 (Ep 136)",2024-09-03,52,1.0,0,2
LMgxxjCz0Hk,"Lens on Daily: Tuesday, September 3, 2024 (Ep 101)",2024-09-03,30,0.0,0,0
DK_8CvDBCR8,"Market Focus Daily: Monday, September 2, 2024 (Ep 135)",2024-09-02,46,0.0,0,0
howx9MVmt-M,"Trust Bank’s customers rise to 806,000, deposits more than double to S$3 million #shorts",2024-09-02,64,2.0,0,0
D2u-yOM1W9Y,"Lens on Daily: Monday, September 2, 2024 (Ep 100)",2024-09-02,20,0.0,0,0
