Video_Id,Title,Published_date,Views,Likes,Favorite,Comments
LWPK2d7LSBo,Parliament debates relationship between Government and trade unions,2024-09-09,2463,20.0,0,27.0
nppbtkwwpAA,Malaysia: Boy saves trapped rabbits from fire,2024-09-09,1620,50.0,0,1.0
S-Hbn8uPkWo,New Bill to provide more support for platform workers,2024-09-09,444,4.0,0,8.0
4lvHWGhC8hQ,Consumers could pay more for electricity under new law that allows the authorities to recover costs,2024-09-09,1488,15.0,0,13.0
k_6dOk-YIj4,Trump takes offence to Putin's alleged endorsement of Harris,2024-09-09,803,8.0,0,4.0
aKUrywnSuU4,Residents clean up debris after deadly Typhoon Yagi in Vietnam,2024-09-09,1461,15.0,0,2.0
XPfzyxEvkAs,The Chinese and Japanese Gardens reopen: Attractions to look out for #JurongLakeGardens,2024-09-09,2843,45.0,0,0.0
Fum6UlPowYY,Why Pritam Singh’s bid to move his trial to High Court was rejected,2024-09-09,4747,26.0,0,24.0
MWYfhhZsoQU,Higher percentage of travellers refused entry into Singapore with new automated lanes,2024-09-09,9289,64.0,0,29.0
V3l3gqYdvSk,DPM Gan Kim Yong: We have to be honest and we have to be transparent with people | Lunch with Sumiko,2024-09-09,15869,131.0,0,43.0
txSgvIV6c-0,"Pritam Singh, seeking to have case tried in High Court, arrives for application decision",2024-09-09,3729,25.0,0,27.0
xbkDw_VA2vQ,Art Of The Brick Lego exhibition in Singapore,2024-09-08,1886,79.0,0,0.0
SnRUKvqeCqA,Ferris wheel cabins spin violently as Super Typhoon Yagi hits southern China,2024-09-07,17763,205.0,0,7.0
LwvPM6TRMZ0,Veteran actor Xie Shaoguang on his return to show business,2024-09-07,7281,60.0,0,6.0
slnpBVP9dAM,Explore Bubble Planet at Singapore Expo,2024-09-06,1573,38.0,0,0.0
B92HEt6atSk,Pope Francis in Singapore: The custom-made chairs he will be using,2024-09-06,15701,280.0,0,33.0
ds3bRPp6_m4,Leopard spotted roaming streets in China,2024-09-06,4972,63.0,0,12.0
5RLEIR2vogE,Dragons in bloom: Assembling Singapore’s largest flower carpet,2024-09-05,2379,50.0,0,2.0
dPP55cqYjKc,Pope Francis questions choosing pets over having children,2024-09-05,2427,33.0,0,13.0
p0OsymzrH8E,UK probe blames deadly Grenfell Tower fire on 'dishonesty and greed',2024-09-05,697,19.0,0,0.0
9xojec2hOOQ,National sprinter Shanti Pereira returns home after Paris Olympics,2024-09-05,5054,51.0,0,9.0
Zgw4q9jWLLA,At least 4 dead in Georgia high school shooting,2024-09-05,4780,68.0,0,20.0
wAi71iJkbgM,Singapore’s mpox response plan: 21-day quarantine for confirmed cases,2024-09-04,7279,50.0,0,23.0
8KrxMUdLOb0,Mpox vaccine to be offered to healthcare workers at higher risk of exposure,2024-09-04,2725,34.0,0,21.0
dHepXvK6RWc,Ong Ye Kung on characteristics of mpox and its transmission,2024-09-04,21585,87.0,0,56.0
QukIMWq3fPA,What’s it like to hop on a plane with Pope Francis?,2024-09-03,8123,137.0,0,4.0
80QB-aXl32E,We have a legitimate right to shoot down Russian missiles: Poland's Foreign Minister,2024-09-03,11538,150.0,0,166.0
Ajv33ZEw5yk,How Alkaff Lake prevents Bidadari from flooding,2024-09-03,16080,190.0,0,31.0
xnlg5nTCcvM,Pope Francis arrives in Indonesia,2024-09-03,2706,30.0,0,6.0
ylpx1InlJEM,Korean staple kimchi under climate threat in its homeland,2024-09-03,1077,29.0,0,3.0
i231jcVN2J0,Iswaran’s third bid for conditioned statements of trial witnesses dismissed,2024-09-03,5831,47.0,0,11.0
4vPSYrBmd-w,Pope Francis calls for prayers ahead of Asia-Pacific tour,2024-09-03,2763,25.0,0,6.0
G69xQ5suOVo,Iswaran goes to Court of Appeal in third bid for statements of trial witnesses,2024-09-03,6772,53.0,0,11.0
UxKdyiI75t4,Oasis tickets turmoil: UK government to probe dynamic pricing,2024-09-02,795,5.0,0,2.0
