Video_Id,Title,Published_date,Views,Likes,Favorite,Comments
92-2COu34_M,林厝港的海上桃源,2024-09-08,15526,261.0,0,13.0
a5fQlYtNp9Y,观众兴奋喊重开电视 谢韶光：不把自己看得太重要,2024-09-07,17331,224.0,0,25.0
m0kJ6OtHrRw,新马跨境交通繁忙，非法跨境包车“霸王车”因此兴起。这些“霸王车”属非法经营，司机可能面临罚款、坐牢甚至车辆没收，乘客安全也难以保障。专家建议把它们纳入合法监管框架。https://zb.sg/59kc,2024-09-06,2515,36.0,0,4.0
3rQLC9Rt1eo,"霸王车、猴痘病毒、猫只管理框架 Illegal chauffeur services, mpox, cat licensing #茶水间三问 #早报播客",2024-09-06,17198,188.0,0,28.0
TApRbjHZHWM,30年前从上海“空降”  新加坡主持界阿哥郭亮谈人生的满足与遗憾,2024-09-06,20577,221.0,0,25.0
ObjdakVGn4E,猴痘疫情受关注  新加坡卫生部：暂不建议全民接种疫苗,2024-09-04,12800,156.0,0,24.0
4id6MpCa6Fo,圣淘沙海滩惊现1.5米长鲨鱼！#zaobaosg #sgnews #shorts,2024-09-04,3608,51.0,0,3.0
xKJMzmszs9E,哈里斯与特朗普 中国更欢迎谁？| 亚洲前瞻峰会之《联合早报》对谈,2024-09-03,16586,183.0,0,270.0
Qddm5ZPjAG0,惊险逃过一劫，柯文哲能大反攻吗？Former Taipei mayor Ko Wen-je’s narrow escape? #东谈西论 #早报播客,2024-09-03,7814,80.0,0,33.0
sZSR5c7u5d8,[ENG SUB] 只能吃不能看 新加坡经营丑食生意路难走？,2024-09-03,48323,445.0,0,110.0
iYfToe327AY,【早现场】开幕啦！走近阿卡夫湖和比达达利公园,2024-09-03,13082,91.0,0,9.0
MLHt149l8EI,政府新助力 新加坡奥运征程能走多远,2024-09-03,2057,30.0,0,4.0
VCrt8HxDECQ,【早现场】开幕啦！走近阿卡夫湖和比达达利公园,2024-09-03,0,0.0,0,0.0
45_sIdgXjGg,[ENG SUB] 外地人来新加坡游学 游什么学什么？What Foreign Students are Learning from Singapore Study Tours,2024-09-02,13089,115.0,0,92.0
F4G_-TyLxwo,被遗忘的马六甲皇京港，将重见天日？,2024-09-01,131913,1113.0,0,642.0
TCyhEJjT-58,中国游戏《黑神话：悟空》爆火 多少新加坡人在玩？,2024-08-31,215948,2752.0,0,1387.0
RgjbfUWsp3I,"焦尸案、吉隆坡地陷、黑神话：悟空 Potong Pasir blaze, KL sinkholes, Black Myth: Wukong #茶水间三问 #早报播客",2024-08-30,23992,263.0,0,29.0
_iiyVX7veGM,【早现场】牛车水中秋灯饰亮灯咯！,2024-08-30,6768,84.0,0,15.0
dIM_93ItRWY,新加坡波东巴西组屋发生离奇命案，一名44岁男子在走廊被发现下半身严重烧焦，死因可能与裤袋中的电子烟或便携式电池有关。这起事件引发公众对电子产品安全问题的关注。 #sgnews #singapore,2024-08-30,6727,110.0,0,3.0
GwyEaJFLbX4,[ENG SUB] 达信家族东山再起  新政府能维系多久 | 世界大解说 How Long will Thaksin's Political Comeback Last?,2024-08-29,125806,973.0,0,181.0
uHxcOttA2bw,三十载中国通沃尔兹  不当“屠龙者”也不是“熊猫派”  Tim Walz's Ties with China: Dragon Slayer or Panda Hugger? | 美国总统选举,2024-08-28,23915,156.0,0,127.0
3ceWosFGB5w,哈里斯竞选总统 背后的暗流 US Election 2024: Kamala Harris' path to history #东谈西论 #早报播客,2024-08-27,8357,76.0,0,30.0
HEt98Yai6cY,新加坡南北交通廊道 不只是条大马路 #zaobaosg,2024-08-27,3469,66.0,0,0.0
XvvR_FolebI,"马来西亚VEP、单语社会、南大建筑发霉 Malaysia VEP, monolingual society, NTU mouldy building  #茶水间三问 #早报播客",2024-08-26,1841,22.0,0,4.0
g5nyX222fDE,新加坡国立大学限制客流 大家怎么说？,2024-08-24,32789,201.0,0,417.0
JQfnaUqgSY0,"马来西亚VEP、单语社会、南大建筑发霉 Malaysia VEP, monolingual society, NTU mouldy building  #茶水间三问 #早报播客",2024-08-23,10273,111.0,0,34.0
D1VS21zNTM8,上任100天  黄循财总理：总有地方能做得更好,2024-08-23,6803,80.0,0,21.0
rIPKXqcQ6UI,哈里斯正式接受提名  与特朗普一决雌雄  | 美国总统选举,2024-08-23,19160,180.0,0,91.0
mHCL23muA7s,多10周产假“催生”  你生不生？,2024-08-22,6537,59.0,0,41.0
vS0nlqJG4pE,柯文哲面对政治生死劫 Scandal rocks Taiwan’s “white force” #东谈西论 #早报播客,2024-08-20,8494,95.0,0,40.0
vbfhY0RQer0,[ENG SUB] 边打工边参赛  斜杠国手的追梦之路 | Why it's Hard to be an Athlete in Singapore,2024-08-20,22705,223.0,0,48.0
jeeUEPIxsGw,中国“青年养老院”遍地开花 | 极现场,2024-08-19,15856,160.0,0,35.0
zmTCUqD7I-E,国庆群众大会2024 黄循财总理首秀三大重点,2024-08-18,22634,231.0,0,147.0
d2p-PZczndY,国庆群众大会2024 黄循财总理英语演讲 | 直播,2024-08-18,14024,159.0,0,3.0
ccB909vwOww,国庆群众大会2024 黄循财总理华语演讲,2024-08-18,57799,910.0,0,341.0
izXs_8gDpf4,"外国犯罪团伙、大学生与蓝领工作、小贩中心初次约会 Housebreaking syndicate, blue-collar jobs, first date #茶水间三问 #早报播客",2024-08-17,40190,408.0,0,117.0
W2T6d8KI-JA,[ENG SUB] 泰国最年轻首相诞生  达信家族重回政坛顶峰,2024-08-16,238492,1696.0,0,460.0
OTrrs-_PRQM,【茶水间三问】第一次约会到小贩中心，你能接受吗？ #singapore #sgshorts  #新加坡 #新加坡生活 #新加坡房产,2024-08-16,1835,26.0,0,1.0
ewIc4pHVJrA,马凯硕发表回忆录  陈庆珠：他的不同观点丰富了新加坡社会,2024-08-16,13335,217.0,0,35.0
Z2bKoBoxG1w,新加坡怎么发掘墨士廉？唐振辉：愿做他征程上的避风港,2024-08-15,25929,254.0,0,14.0
WFuhK0DPxuA,【早现场】为你们喝彩！新加坡奥运健儿开顶巴士游行,2024-08-14,17432,249.0,0,21.0
ZeL4MuT82v4,墨士廉外公：让他先尽情跟大家分享快乐  我们会在家等着他,2024-08-13,52379,663.0,0,56.0
KMu5O4SP6EU,巴黎奥运折射中美角力 China-US rivalry at Paris Olympics 2024 #东谈西论 #早报播客,2024-08-13,21183,256.0,0,342.0
mQL7eh3T9z4,【早现场】为奥运选手接机！墨士廉、卢军汉回国,2024-08-13,11239,182.0,0,31.0
1TIo6PozsaE,[ENG SUB] 开箱宠物走私：原来低价猫狗这样潜入新加坡 Uncovering Pet Smuggling into Singapore,2024-08-13,30253,248.0,0,59.0
j1z8aQKkPj0,马凯硕：我是亲新加坡的中国乐观派,2024-08-11,279946,8911.0,0,1302.0
o0N7cM-gn9U,奥运铜牌得主墨士廉：我还有些郁闷，但也是发自内心地快乐,2024-08-10,20747,267.0,0,32.0
LIsLZIzYsNw,新加坡国庆庆典360度烟火表演绚丽登场！#zaobaosg #sgnews #shorts,2024-08-09,4749,122.0,0,3.0
1catvoZ_wcY,尚达曼上任后首次以总统身份出席国庆庆典 #zaobaosg #sgnews #shorts,2024-08-09,6862,91.0,0,4.0
qQ1_1WWqe-4,国务资政李显龙入场 现场欢呼声不断！#zaobaosg #sgnews #shorts,2024-08-09,11010,269.0,0,25.0
PqeYO-HcYu0,国庆庆典前突降大雨 工作人员乘雨势转小 抓紧清理舞台积水 #zaobaosg #sgnews #shorts,2024-08-09,10301,170.0,0,6.0
04DSfynIKRM,"前工人党议员、DSA直接收生计划、青年谈恋爱 Leon Perera, Direct School Admission, young people dating #茶水间三问 #早报播客",2024-08-09,11297,82.0,0,16.0
NzPSFcz5Bt4,国会激辩选区划分不公    陈振声：行动党未谋取政治优势,2024-08-07,14577,126.0,0,97.0
_XNzmv2ySEQ,哈里斯副手选定沃尔兹  抢占传统白人与中部票仓,2024-08-07,14090,80.0,0,48.0
M5DOw_fqAhs,中共政治局治得了产业“内卷”吗？Unwinding China's rat race #东谈西论 #早报播客,2024-08-06,21956,202.0,0,169.0
j1c02jA-7dQ,【义顺谋杀案】被告押回案发现场 走廊接受问话 #zaobaosg #sgnews #shorts,2024-08-06,6523,86.0,0,3.0
YQev_DtLAis,【早现场】为奥运选手接机！骆建佑、杨佳敏回来啦,2024-08-05,20987,161.0,0,21.0
zbGlCqPxl4M,新社科大法学院迎新！68位新生宣誓 开启法律之路 #zaobaosg #sgnews #shorts,2024-08-02,2030,22.0,0,0.0
vXwWZTVhRjY,"财政部AI图片、核能、奥运会 MOF‘s AI-generated ad, nuclear energy, Olympics  #茶水间三问 #早报播客",2024-08-02,5656,66.0,0,20.0
AIjSabLY5ys,【#茶水间三问】新加坡财政部AI生成图片像诈骗广告？#zaobaosg #早报播客 #用听的 #sgnews #shorts,2024-08-02,1297,18.0,0,2.0
JjX1HlyB6Oc,[ENG SUB] 在爱与“顺其自然”间长大的世界冠军—专访墨士廉父母 Kitefoiling Champion Max Maeder's Unexpected Olympic Journey,2024-08-02,275608,3154.0,0,238.0
Y5HCTVDOMnI,[ENG SUB] 从“历史罪人”到印尼总统：普拉博沃的“双面人生” Prabowo's Many Political Incarnations | 世界大解说,2024-08-01,133021,1567.0,0,668.0
