Video_Id,Title,Published_date,Views,Likes,Favorite,Comments,Playlist_id,Inserted_date
tNt4pAjqjAE,இந்தியப் பிரதமர் நரேந்திர மோடி ஐந்தாவது முறையாக சிங்கப்பூருக்கு அதிகாரத்துவ வருக,2024-09-04,47,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
67aLjmCq7R4,400 மீட்டர் ஓட்ட சாதனையாளர் லாவண்யா ஜெய்காந்த் சிங்கப்பூர் வந்தடைந்தார்,2024-09-03,107,4,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
N9IOypIvS10,விழுமியங்களில் மாணவர்களை நங்கூரமிட வேண்டும்: கெவின் ஜோசஃப் ஃபிரான்சிஸ்,2024-08-31,27,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
TwBqy0JY1VE,நாட்டுப்புறக் கலைஞர்களின் அனுபவங்கள்!,2024-08-30,70,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
QFqY5Q-r2ok,ஏர் இந்தியா - விஸ்தாரா இணைப்பு தொடர்பில் இந்தியாவின் ஒப்புதலைப் பெற்றது எஸ்ஐஏ,2024-08-30,548,13,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
y-_2DQB8tGA,"ஆகஸ்ட் 29, 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-29,75,3,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
icGEicnHTGM,கவிஞர் மகுடேசுவரனுடன் ஒரு கலந்துரையாடல் (பாகம் 1),2024-08-29,27,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
MiLdnFb0kAg,சிங்கப்பூர் மாணவர்களிடம் தமிழ்ப் புழக்கத்தை அதிகரிக்க என்ன வழி? கவிஞர் மகுடேசுவரன்  (பாகம் 1),2024-08-29,213,11,0,2.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
Kl4DtH0ovb8,சிங்கப்பூரில் தரையிறங்கிய ஏ.ஆர். ரகுமான்!,2024-08-29,267,6,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
9QTEdiMLG5s,பாலர் பள்ளி கல்வியாளர்களுக்கு மேம்பட்ட உதவி,2024-08-29,14,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
SqEmwxmK9l0,"ஆகஸ்ட் 28, 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-28,17,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
hZUp8voY-8s,30000க்கும் மேற்பட்ட புதிய இணையப் பாடங்களுக்கு இன்று முதல் ஸ்கில்ஸ்பியூச்சர் நிதியைப் பயன்படுத்தலாம்,2024-08-28,55,4,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
RqiH9LOPFV8,அமைச்சர் விவியன் பாலகிருஷ்ணன்: இந்தியாவின் வளர்ச்சியால் சிங்கப்பூருக்கு வாய்ப்பு,2024-08-28,76,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
CBCBHePlmbk,தேசிய சேவை நாட்டின் பாதுகாப்புக்கான முதுகெலும்பு : பிரதமர் வோங்,2024-08-27,15,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
5FoTJsZde64,"ஆகஸ்ட் 27, 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-27,113,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
vB_kA_Bexig,இரண்டாவது சிங்கப்பூர் - இந்திய அமைச்சர்நிலை வட்டமேசைக் கூட்டம்,2024-08-26,89,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
CXLzDqSGuYA,"ஆகஸ்ட் 26, 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-26,80,1,0,1.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
Ex6B9E4z5uY,மரபுக் கலைகள் திருவிழா: ஆனந்தக் கொண்டாட்டம்,2024-08-26,110,5,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
b6Zzv0_3HkM,இளையர்களின் கொள்கைப் பரிந்துரைகளுக்குப் பிரதமர் லாரன்ஸ் வோங் செவிசாய்த்தார்.,2024-08-25,54,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
HXQgJgvXTSk,அறையெங்கும் 'மார்வெல்' பொம்மைகள்,2024-08-24,22,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
gqDsmhIvQuE,கோலாலம்பூரில் 8 மீட்டர் ஆழமான பள்ளத்தில் விழுந்த மாது,2024-08-23,386,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
b_qbtz6qjWM,"ஆகஸ்ட் 23, 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-23,46,2,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
CiV45Pr33WQ,"வாழ்க்கைச் செலவினம், மூத்தோர் பராமரிப்பு குறித்து அரசாங்கம் ஆய்வு செய்கிறது: பிரதமர் வோங்",2024-08-23,8,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
4oPSvXYsoMg,அடிப்படைக் கொள்கைகளையும் விழுமியங்களையும் விட்டுக்கொடுக்க முடியாது என்றார் பிரதமர் வோங்,2024-08-23,18,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
-jJKtWg9mAU,புதிய இலக்குகளை அடைய அடித்தளமாக விளங்கும் இரு முக்கிய தூண்கள்: பிரதமர் வோங்,2024-08-23,18,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
e3TWI1QyXQs,"ஆகஸ்ட் 22, 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-22,49,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
MFNz9xCbuAs,"ஆகஸ்ட் 21, 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-21,67,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
obYS9FDu6M4,பங்ளாதேஷிய சமய போதகர் வேறொரு பெயர் தாங்கிய கடப்பிதழுடன் சிங்கப்பூருக்கு வந்தார் - அமைச்சர் விளக்கம்,2024-08-21,87,3,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
FuoyPBrlnSM,Your கருத்து is என்ன?: இளையர்களும் தமிழ் மொழியும்,2024-08-21,68,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
GMEbjTjswfM,ஏழு மொழிகளில் சிறக்கும் சேவைத்தரம்,2024-08-21,26,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
c3wk6siWvys,தன்னலமற்று தொண்டுபுரியும் மாணவர்களுக்‌கு விருது,2024-08-21,28,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
ouiBLiTOMdg,சிங்கப்பூர் குடிமக்கள் சங்கத்தின் வைர விழா கொண்டாட்டம்,2024-08-21,43,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
US3C4tBS8Wg,"ஆகஸ்ட் 20, 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-20,59,2,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
jPEKPoiiscc,வீடமைப்பு வளர்ச்சிக் கழகக் கடன் வரம்பு 75 விழுக்காடாகக் குறைக்கப்படுகிறது,2024-08-20,201,5,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
L0JxdlaaNYQ,Michelin guide Singapore bib gourmand பட்டியலில் இடம்பெற்ற இந்தியு உணவுக்கடைகள்!,2024-08-20,13,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
PMipAfa4Y6E,குரங்கம்மை: உயர் விழிப்புநிலையில் மலேசியா,2024-08-19,39,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
